imageforge-ai  | INFO:     Started server process [1]
imageforge-ai  | INFO:     Waiting for application startup.
imageforge-ai  | 2026-03-05 06:34:20,359 [INFO] app.main: AI servisi ba┼şlat─▒l─▒yor...
imageforge-ai  | 2026-03-05 06:34:22,474 [INFO] app.main: GPU mevcut: False
imageforge-ai  | 2026-03-05 06:34:22,475 [INFO] app.main: R2 Bucket: imageforge-dev
imageforge-ai  | 2026-03-05 06:34:22,475 [INFO] app.main: R2 Endpoint: https://320843f395214496f89171d37b985f3f.r2.cloudflarestorage.com
imageforge-ai  | 2026-03-05 06:34:22,475 [INFO] app.main: Base model: stabilityai/stable-diffusion-xl-base-1.0
imageforge-ai  | 2026-03-05 06:34:22,475 [INFO] app.main: Model ilk ├╝retim iste─şinde lazy-load edilecek.
imageforge-ai  | INFO:     Application startup complete.
imageforge-ai  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
imageforge-ai  | INFO:     127.0.0.1:53696 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:44062 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:38744 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:50350 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:51240 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:51180 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:35710 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:52996 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:51018 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:35818 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:55730 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:57152 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:47540 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:37982 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:53892 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:37440 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:56536 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:43476 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:50396 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     172.19.0.1:52110 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:57186 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:54684 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:43196 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:50708 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:56984 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:42628 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:37960 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:57882 - "GET /health HTTP/1.1" 200 OK
